date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:06	177331/177331	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20May%202024%2012:38:04%20GMT	https://sameday.guru/	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/index-2.html	(from )
19:30:06	5273/5273	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2018:30:05%20GMT	https://sameday.guru/robots.txt		(from )
19:30:06	86034/86034	---M--	200	added ('OK')	image/jpeg	etag:%226648a12c-15012%22	https://sameday.guru/wp-content/uploads/Opengraph-Image.jpg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/Opengraph-Image.jpg	(from https://sameday.guru/)
19:30:06	101465/101465	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-18c59%22	https://sameday.guru/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.17.11	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit673e.css	(from https://sameday.guru/)
19:30:07	1060/1060	---M-Z	200	added ('OK')	application/xml	etag:W/%226648a12c-424%22	https://sameday.guru/feed/	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/feed/index.html	(from https://sameday.guru/)
19:30:07	38102/38102	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-94d6%22	https://sameday.guru/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper.css?ver=7.11.2	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helperdf08.css	(from https://sameday.guru/)
19:30:07	740/740	---M-Z	200	added ('OK')	application/xml	etag:W/%226648a12c-2e4%22	https://sameday.guru/comments/feed/	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/comments/feed/index.html	(from https://sameday.guru/)
19:30:08	74613/74613	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-12375%22	https://sameday.guru/wp-content/plugins/jet-engine/assets/css/frontend.css?ver=3.3.6	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/jet-engine/assets/css/frontende485.css	(from https://sameday.guru/)
19:30:08	242/242	---MCZ	200	added ('OK')	text/css	etag:W/%226648a12c-f2%22	https://sameday.guru/wp-content/themes/vault-child/style.css?ver=6.5.3	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/themes/vault-child/styleef10.css	(from https://sameday.guru/)
19:30:08	118945/118945	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-1d0a1%22	https://sameday.guru/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.0	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/elementor/assets/css/frontend-lite.minde8f.css	(from https://sameday.guru/)
19:30:09	16471/16471	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-4057%22	https://sameday.guru/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://sameday.guru/)
19:30:09	11053/11053	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-2b2d%22	https://sameday.guru/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.19.2	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min34a7.css	(from https://sameday.guru/)
19:30:09	90926/90926	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-1632e%22	https://sameday.guru/wp-content/uploads/elementor/css/post-43.css?ver=1716034638	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/elementor/css/post-4343de.css	(from https://sameday.guru/)
19:30:10	1325/1325	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-52d%22	https://sameday.guru/wp-content/uploads/elementor/css/post-62.css?ver=1715534837	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/elementor/css/post-629dad.css	(from https://sameday.guru/)
19:30:10	3442/3442	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-d72%22	https://sameday.guru/wp-content/uploads/elementor/css/post-50.css?ver=1715579051	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/elementor/css/post-50b6ab.css	(from https://sameday.guru/)
19:30:10	179679/179679	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-2bddf%22	https://sameday.guru/wp-content/uploads/uicore-global.css?ver=4976	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/uicore-global53c6.css	(from https://sameday.guru/)
19:30:11	18900/18900	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-49d4%22	https://sameday.guru/wp-content/plugins/uicore-framework/assets/fonts/themify-icons.css?ver=1.0.0	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/uicore-framework/assets/fonts/themify-icons8a54.css	(from https://sameday.guru/)
19:30:11	87553/87553	---M-Z	200	added ('OK')	application/javascript	etag:W/%226648a12c-15601%22	https://sameday.guru/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-includes/js/jquery/jquery.minf43b.js	(from https://sameday.guru/)
19:30:11	13577/13577	---M-Z	200	added ('OK')	application/javascript	etag:W/%226648a12c-3509%22	https://sameday.guru/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://sameday.guru/)
19:30:11	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2018:30:12%20GMT	https://sameday.guru/wp-json/wp/v2/pages/43	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-json/wp/v2/pages/43	(from https://sameday.guru/)
19:30:12	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2018:30:12%20GMT	https://sameday.guru/wp-json/	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-json/index.html	(from https://sameday.guru/)
19:30:12	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2018:30:12%20GMT	https://sameday.guru/xmlrpc.php?rsd	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/xmlrpc0db0.php	(from https://sameday.guru/)
19:30:12	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20May%202024%2018:30:13%20GMT	https://sameday.guru/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhttps%3A%2F%2Fsameday.guru%2F	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-json/oembed/1.0/embed1cf7	(from https://sameday.guru/)
19:30:13	11844/11844	---M--	200	added ('OK')	image/png	etag:%226648a12c-2e44%22	https://sameday.guru/wp-content/uploads/2024/04/cropped-favicon-black.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/2024/04/cropped-favicon-black.png	(from https://sameday.guru/)
19:30:13	784/784	---M--	200	added ('OK')	image/png	etag:%226648a12c-310%22	https://sameday.guru/wp-content/uploads/2024/04/cropped-favicon-black-32x32.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/2024/04/cropped-favicon-black-32x32.png	(from https://sameday.guru/)
19:30:14	4826/4826	---M--	200	added ('OK')	image/png	etag:%226648a12c-12da%22	https://sameday.guru/wp-content/uploads/2024/04/cropped-favicon-black-192x192.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/2024/04/cropped-favicon-black-192x192.png	(from https://sameday.guru/)
19:30:14	4514/4514	---M--	200	added ('OK')	image/png	etag:%226648a12c-11a2%22	https://sameday.guru/wp-content/uploads/2024/04/cropped-favicon-black-180x180.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/2024/04/cropped-favicon-black-180x180.png	(from https://sameday.guru/)
19:30:15	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20May%202024%2018:30:15%20GMT	http://code.tidio.co/tqhw5zp2izpdmwzomnu2blzfkmeylhur.js	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/tqhw5zp2izpdmwzomnu2blzfkmeylhur.16.delayed	(from https://sameday.guru/)
19:30:18	529683/529683	---M--	200	added ('OK')	image/jpeg	etag:%226648a12c-81513%22	https://sameday.guru/wp-content/uploads/3.jpg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/3.jpg	(from https://sameday.guru/)
19:30:18	353970/353970	---M--	200	added ('OK')	image/jpeg	etag:%226648a12c-566b2%22	https://sameday.guru/wp-content/uploads/4.jpg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/4.jpg	(from https://sameday.guru/)
19:30:19	420558/420558	---M--	200	added ('OK')	image/jpeg	etag:%226648a12c-66ace%22	https://sameday.guru/wp-content/uploads/5.jpg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/5.jpg	(from https://sameday.guru/)
19:30:20	9929/9929	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-26c9%22	https://sameday.guru/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://sameday.guru/)
19:30:20	491497/491497	---M--	200	added ('OK')	image/jpeg	etag:%226648a12c-77fe9%22	https://sameday.guru/wp-content/uploads/6.jpg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/6.jpg	(from https://sameday.guru/)
19:30:20	23976/23976	---M--	200	added ('OK')	image/png	etag:%226648a12c-5da8%22	https://sameday.guru/wp-content/uploads/notes.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/notes.png	(from https://sameday.guru/)
19:30:20	31479/31479	---M--	200	added ('OK')	image/png	etag:%226648a12c-7af7%22	https://sameday.guru/wp-content/uploads/lightning-1.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/lightning-1.png	(from https://sameday.guru/)
19:30:20	16289/16289	---M--	200	added ('OK')	image/png	etag:%226648a12c-3fa1%22	https://sameday.guru/wp-content/uploads/money.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/money.png	(from https://sameday.guru/)
19:30:21	35885/35885	---M--	200	added ('OK')	image/png	etag:%226648a12c-8c2d%22	https://sameday.guru/wp-content/uploads/premium-quality.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/premium-quality.png	(from https://sameday.guru/)
19:30:21	38380/38380	---M--	200	added ('OK')	image/png	etag:%226648a12c-95ec%22	https://sameday.guru/wp-content/uploads/version-control.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/version-control.png	(from https://sameday.guru/)
19:30:21	28744/28744	---M--	200	added ('OK')	image/png	etag:%226648a12c-7048%22	https://sameday.guru/wp-content/uploads/magic.png	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/magic.png	(from https://sameday.guru/)
19:30:22	8168/8168	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226648a12c-1fe8%22	https://sameday.guru/wp-content/uploads/youtube.svg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/youtube.svg	(from https://sameday.guru/)
19:30:22	5811/5811	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226648a12c-16b3%22	https://sameday.guru/wp-content/uploads/cool_fm.svg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/cool_fm.svg	(from https://sameday.guru/)
19:30:22	1234/1234	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226648a12c-4d2%22	https://sameday.guru/wp-content/uploads/bolt.svg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/bolt.svg	(from https://sameday.guru/)
19:30:23	7034/7034	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226648a12c-1b7a%22	https://sameday.guru/wp-content/uploads/arla.svg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/arla.svg	(from https://sameday.guru/)
19:30:23	5151/5151	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226648a12c-141f%22	https://sameday.guru/wp-content/uploads/access_bank.svg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/access_bank.svg	(from https://sameday.guru/)
19:30:24	4797/4797	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226648a12c-12bd%22	https://sameday.guru/wp-content/uploads/GIGM-Logo.svg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/GIGM-Logo.svg	(from https://sameday.guru/)
19:30:24	937/937	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226648a12c-3a9%22	https://sameday.guru/wp-content/uploads/MTN-Logo.svg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/MTN-Logo.svg	(from https://sameday.guru/)
19:30:24	1572/1572	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226648a12c-624%22	https://sameday.guru/wp-content/uploads/kuda_bank.svg	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/kuda_bank.svg	(from https://sameday.guru/)
19:30:25	4690/4690	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20May%202024%2018:30:25%20GMT	https://sameday.guru/cdn-cgi/l/email-protection	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/cdn-cgi/l/email-protection.html	(from https://sameday.guru/)
19:30:26	55800/55800	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20May%202024%2012:38:04%20GMT	https://sameday.guru/terms-of-use/	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/terms-of-use/index.html	(from https://sameday.guru/)
19:30:27	43851/43851	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20May%202024%2012:38:04%20GMT	https://sameday.guru/privacy/	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/privacy/index.html	(from https://sameday.guru/)
19:30:28	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226650ac81-4d7%22	https://sameday.guru/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://sameday.guru/)
19:30:28	921638/921638	---M--	200	added ('OK')	application/pdf	etag:%226648a12c-e1026%22	https://sameday.guru/wp-content/uploads/CERTIFICATE-SAMEDAY-DESIGN-SERVICES-LTD.pdf	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/CERTIFICATE-SAMEDAY-DESIGN-SERVICES-LTD.pdf	(from https://sameday.guru/)
19:30:28	3182/3182	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-c6e%22	https://sameday.guru/wp-content/plugins/bdthemes-element-pack/assets/css/ep-cursor-effects.css?ver=7.11.2	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/bdthemes-element-pack/assets/css/ep-cursor-effectsdf08.css	(from https://sameday.guru/)
19:30:28	161/161	---MCZ	200	added ('OK')	text/css	etag:W/%226648a12c-a1%22	https://sameday.guru/wp-content/plugins/bdthemes-element-pack/assets/css/ep-reveal-effects.css?ver=7.11.2	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/bdthemes-element-pack/assets/css/ep-reveal-effectsdf08.css	(from https://sameday.guru/)
19:30:29	760/760	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-2f8%22	https://sameday.guru/wp-content/plugins/bdthemes-element-pack/assets/css/ep-marquee.css?ver=7.11.2	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/bdthemes-element-pack/assets/css/ep-marqueedf08.css	(from https://sameday.guru/)
19:30:29	4664/4664	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-1238%22	https://sameday.guru/wp-content/plugins/bdthemes-element-pack/assets/css/tippy.css?ver=7.11.2	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/bdthemes-element-pack/assets/css/tippydf08.css	(from https://sameday.guru/)
19:30:30	1350/1350	---M-Z	200	added ('OK')	text/css	etag:W/%226648a12c-546%22	https://sameday.guru/wp-content/plugins/bdthemes-element-pack/assets/css/ep-accordion.css?ver=7.11.2	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/plugins/bdthemes-element-pack/assets/css/ep-accordiondf08.css	(from https://sameday.guru/)
19:30:30	30563/30563	---M-Z	200	added ('OK')	application/javascript	etag:W/%226648a12c-7763%22	https://sameday.guru/wp-content/uploads/uicore-global.js?ver=4976	C:/Users/hp/Desktop/work%20jobs/scraped/sameday/wp-content/uploads/uicore-global53c6.js	(from https://sameday.guru/)
